row-number,field,issue-type,value
1,organisation,default,local-authority-eng:ESK
1,entry-date,default,2021-06-23
2,organisation,default,local-authority-eng:ESK
2,entry-date,default,2021-06-23
3,organisation,default,local-authority-eng:ESK
3,entry-date,default,2021-06-23
4,organisation,default,local-authority-eng:ESK
4,entry-date,default,2021-06-23
5,organisation,default,local-authority-eng:ESK
5,entry-date,default,2021-06-23
6,organisation,default,local-authority-eng:ESK
6,entry-date,default,2021-06-23
7,organisation,default,local-authority-eng:ESK
7,entry-date,default,2021-06-23
8,organisation,default,local-authority-eng:ESK
8,entry-date,default,2021-06-23
9,organisation,default,local-authority-eng:ESK
9,entry-date,default,2021-06-23
10,organisation,default,local-authority-eng:ESK
10,entry-date,default,2021-06-23
11,organisation,default,local-authority-eng:ESK
11,entry-date,default,2021-06-23
12,organisation,default,local-authority-eng:ESK
12,entry-date,default,2021-06-23
13,organisation,default,local-authority-eng:ESK
13,entry-date,default,2021-06-23
14,organisation,default,local-authority-eng:ESK
14,entry-date,default,2021-06-23
15,organisation,default,local-authority-eng:ESK
15,entry-date,default,2021-06-23
16,organisation,default,local-authority-eng:ESK
16,entry-date,default,2021-06-23
17,organisation,default,local-authority-eng:ESK
17,entry-date,default,2021-06-23
18,organisation,default,local-authority-eng:ESK
18,entry-date,default,2021-06-23
19,organisation,default,local-authority-eng:ESK
19,entry-date,default,2021-06-23
20,organisation,default,local-authority-eng:ESK
20,entry-date,default,2021-06-23
21,organisation,default,local-authority-eng:ESK
21,entry-date,default,2021-06-23
22,organisation,default,local-authority-eng:ESK
22,entry-date,default,2021-06-23
23,organisation,default,local-authority-eng:ESK
23,entry-date,default,2021-06-23
24,organisation,default,local-authority-eng:ESK
24,entry-date,default,2021-06-23
25,organisation,default,local-authority-eng:ESK
25,entry-date,default,2021-06-23
26,organisation,default,local-authority-eng:ESK
26,entry-date,default,2021-06-23
27,organisation,default,local-authority-eng:ESK
27,entry-date,default,2021-06-23
28,organisation,default,local-authority-eng:ESK
28,entry-date,default,2021-06-23
29,organisation,default,local-authority-eng:ESK
29,entry-date,default,2021-06-23
30,organisation,default,local-authority-eng:ESK
30,entry-date,default,2021-06-23
31,organisation,default,local-authority-eng:ESK
31,entry-date,default,2021-06-23
32,organisation,default,local-authority-eng:ESK
32,entry-date,default,2021-06-23
33,organisation,default,local-authority-eng:ESK
33,entry-date,default,2021-06-23
34,organisation,default,local-authority-eng:ESK
34,entry-date,default,2021-06-23
35,organisation,default,local-authority-eng:ESK
35,entry-date,default,2021-06-23
36,organisation,default,local-authority-eng:ESK
36,entry-date,default,2021-06-23
37,organisation,default,local-authority-eng:ESK
37,entry-date,default,2021-06-23
38,organisation,default,local-authority-eng:ESK
38,entry-date,default,2021-06-23
39,organisation,default,local-authority-eng:ESK
39,entry-date,default,2021-06-23
40,organisation,default,local-authority-eng:ESK
40,entry-date,default,2021-06-23
41,organisation,default,local-authority-eng:ESK
41,entry-date,default,2021-06-23
42,organisation,default,local-authority-eng:ESK
42,entry-date,default,2021-06-23
43,organisation,default,local-authority-eng:ESK
43,entry-date,default,2021-06-23
44,organisation,default,local-authority-eng:ESK
44,entry-date,default,2021-06-23
45,organisation,default,local-authority-eng:ESK
45,entry-date,default,2021-06-23
46,organisation,default,local-authority-eng:ESK
46,entry-date,default,2021-06-23
47,organisation,default,local-authority-eng:ESK
47,entry-date,default,2021-06-23
48,organisation,default,local-authority-eng:ESK
48,entry-date,default,2021-06-23
49,organisation,default,local-authority-eng:ESK
49,entry-date,default,2021-06-23
50,organisation,default,local-authority-eng:ESK
50,entry-date,default,2021-06-23
51,organisation,default,local-authority-eng:ESK
51,entry-date,default,2021-06-23
52,organisation,default,local-authority-eng:ESK
52,entry-date,default,2021-06-23
53,organisation,default,local-authority-eng:ESK
53,entry-date,default,2021-06-23
54,organisation,default,local-authority-eng:ESK
54,entry-date,default,2021-06-23
55,organisation,default,local-authority-eng:ESK
55,entry-date,default,2021-06-23
56,organisation,default,local-authority-eng:ESK
56,entry-date,default,2021-06-23
57,organisation,default,local-authority-eng:ESK
57,entry-date,default,2021-06-23
58,organisation,default,local-authority-eng:ESK
58,entry-date,default,2021-06-23
59,organisation,default,local-authority-eng:ESK
59,entry-date,default,2021-06-23
60,organisation,default,local-authority-eng:ESK
60,entry-date,default,2021-06-23
61,organisation,default,local-authority-eng:ESK
61,entry-date,default,2021-06-23
62,organisation,default,local-authority-eng:ESK
62,entry-date,default,2021-06-23
63,organisation,default,local-authority-eng:ESK
63,entry-date,default,2021-06-23
64,organisation,default,local-authority-eng:ESK
64,entry-date,default,2021-06-23
65,organisation,default,local-authority-eng:ESK
65,entry-date,default,2021-06-23
66,organisation,default,local-authority-eng:ESK
66,entry-date,default,2021-06-23
67,organisation,default,local-authority-eng:ESK
67,entry-date,default,2021-06-23
68,organisation,default,local-authority-eng:ESK
68,entry-date,default,2021-06-23
69,organisation,default,local-authority-eng:ESK
69,entry-date,default,2021-06-23
70,organisation,default,local-authority-eng:ESK
70,entry-date,default,2021-06-23
71,organisation,default,local-authority-eng:ESK
71,entry-date,default,2021-06-23
72,organisation,default,local-authority-eng:ESK
72,entry-date,default,2021-06-23
73,organisation,default,local-authority-eng:ESK
73,entry-date,default,2021-06-23
74,organisation,default,local-authority-eng:ESK
74,entry-date,default,2021-06-23
75,organisation,default,local-authority-eng:ESK
75,entry-date,default,2021-06-23
76,organisation,default,local-authority-eng:ESK
76,entry-date,default,2021-06-23
77,organisation,default,local-authority-eng:ESK
77,entry-date,default,2021-06-23
78,organisation,default,local-authority-eng:ESK
78,entry-date,default,2021-06-23
79,organisation,default,local-authority-eng:ESK
79,entry-date,default,2021-06-23
80,organisation,default,local-authority-eng:ESK
80,entry-date,default,2021-06-23
81,organisation,default,local-authority-eng:ESK
81,entry-date,default,2021-06-23
82,organisation,default,local-authority-eng:ESK
82,entry-date,default,2021-06-23
83,organisation,default,local-authority-eng:ESK
83,entry-date,default,2021-06-23
84,organisation,default,local-authority-eng:ESK
84,entry-date,default,2021-06-23
85,organisation,default,local-authority-eng:ESK
85,entry-date,default,2021-06-23
86,organisation,default,local-authority-eng:ESK
86,entry-date,default,2021-06-23
87,organisation,default,local-authority-eng:ESK
87,entry-date,default,2021-06-23
88,organisation,default,local-authority-eng:ESK
88,entry-date,default,2021-06-23
89,organisation,default,local-authority-eng:ESK
89,entry-date,default,2021-06-23
90,organisation,default,local-authority-eng:ESK
90,entry-date,default,2021-06-23
91,organisation,default,local-authority-eng:ESK
91,entry-date,default,2021-06-23
92,organisation,default,local-authority-eng:ESK
92,entry-date,default,2021-06-23
93,organisation,default,local-authority-eng:ESK
93,entry-date,default,2021-06-23
94,organisation,default,local-authority-eng:ESK
94,entry-date,default,2021-06-23
95,organisation,default,local-authority-eng:ESK
95,entry-date,default,2021-06-23
96,organisation,default,local-authority-eng:ESK
96,entry-date,default,2021-06-23
97,organisation,default,local-authority-eng:ESK
97,entry-date,default,2021-06-23
98,organisation,default,local-authority-eng:ESK
98,entry-date,default,2021-06-23
99,organisation,default,local-authority-eng:ESK
99,entry-date,default,2021-06-23
100,organisation,default,local-authority-eng:ESK
100,entry-date,default,2021-06-23
101,organisation,default,local-authority-eng:ESK
101,entry-date,default,2021-06-23
102,organisation,default,local-authority-eng:ESK
102,entry-date,default,2021-06-23
103,organisation,default,local-authority-eng:ESK
103,entry-date,default,2021-06-23
104,organisation,default,local-authority-eng:ESK
104,entry-date,default,2021-06-23
105,organisation,default,local-authority-eng:ESK
105,entry-date,default,2021-06-23
106,organisation,default,local-authority-eng:ESK
106,entry-date,default,2021-06-23
107,organisation,default,local-authority-eng:ESK
107,entry-date,default,2021-06-23
108,organisation,default,local-authority-eng:ESK
108,entry-date,default,2021-06-23
109,organisation,default,local-authority-eng:ESK
109,entry-date,default,2021-06-23
110,organisation,default,local-authority-eng:ESK
110,entry-date,default,2021-06-23
111,organisation,default,local-authority-eng:ESK
111,entry-date,default,2021-06-23
112,organisation,default,local-authority-eng:ESK
112,entry-date,default,2021-06-23
113,organisation,default,local-authority-eng:ESK
113,entry-date,default,2021-06-23
114,organisation,default,local-authority-eng:ESK
114,entry-date,default,2021-06-23
115,organisation,default,local-authority-eng:ESK
115,entry-date,default,2021-06-23
116,organisation,default,local-authority-eng:ESK
116,entry-date,default,2021-06-23
117,organisation,default,local-authority-eng:ESK
117,entry-date,default,2021-06-23
118,organisation,default,local-authority-eng:ESK
118,entry-date,default,2021-06-23
119,organisation,default,local-authority-eng:ESK
119,entry-date,default,2021-06-23
120,organisation,default,local-authority-eng:ESK
120,entry-date,default,2021-06-23
121,organisation,default,local-authority-eng:ESK
121,entry-date,default,2021-06-23
122,organisation,default,local-authority-eng:ESK
122,entry-date,default,2021-06-23
123,organisation,default,local-authority-eng:ESK
123,entry-date,default,2021-06-23
124,organisation,default,local-authority-eng:ESK
124,entry-date,default,2021-06-23
125,organisation,default,local-authority-eng:ESK
125,entry-date,default,2021-06-23
