pipeline,resource,organisation,value,entity
open-space,,local-authority-eng:ESK,93,10700000
open-space,,local-authority-eng:ESK,310,10700001
open-space,,local-authority-eng:ESK,6586,10700002
open-space,,local-authority-eng:ESK,6603,10700003
open-space,,local-authority-eng:ESK,6908,10700004
open-space,,local-authority-eng:ESK,6910,10700005
open-space,,local-authority-eng:ESK,5296,10700006
open-space,,local-authority-eng:ESK,6264,10700007
open-space,,local-authority-eng:ESK,6590,10700008
open-space,,local-authority-eng:ESK,5624,10700009
open-space,,local-authority-eng:ESK,6272,10700010
open-space,,local-authority-eng:ESK,365,10700011
open-space,,local-authority-eng:ESK,8,10700012
open-space,,local-authority-eng:ESK,259,10700013
open-space,,local-authority-eng:ESK,83,10700014
open-space,,local-authority-eng:ESK,86,10700015
open-space,,local-authority-eng:ESK,18,10700016
open-space,,local-authority-eng:ESK,36,10700017
open-space,,local-authority-eng:ESK,99,10700018
open-space,,local-authority-eng:ESK,100,10700019
open-space,,local-authority-eng:ESK,42,10700020
open-space,,local-authority-eng:ESK,46,10700021
open-space,,local-authority-eng:ESK,6582,10700022
open-space,,local-authority-eng:ESK,6585,10700023
open-space,,local-authority-eng:ESK,6592,10700024
open-space,,local-authority-eng:ESK,6594,10700025
open-space,,local-authority-eng:ESK,6595,10700026
open-space,,local-authority-eng:ESK,6911,10700027
open-space,,local-authority-eng:ESK,6912,10700028
open-space,,local-authority-eng:ESK,374,10700029
open-space,,local-authority-eng:ESK,387,10700030
open-space,,local-authority-eng:ESK,5284,10700031
open-space,,local-authority-eng:ESK,5617,10700032
open-space,,local-authority-eng:ESK,2739,10700033
open-space,,local-authority-eng:ESK,5939,10700034
open-space,,local-authority-eng:ESK,316,10700035
open-space,,local-authority-eng:ESK,319,10700036
open-space,,local-authority-eng:ESK,71,10700037
open-space,,local-authority-eng:ESK,359,10700038
open-space,,local-authority-eng:ESK,367,10700039
open-space,,local-authority-eng:ESK,49,10700040
open-space,,local-authority-eng:ESK,51,10700041
open-space,,local-authority-eng:ESK,52,10700042
open-space,,local-authority-eng:ESK,57,10700043
open-space,,local-authority-eng:ESK,59,10700044
open-space,,local-authority-eng:ESK,106,10700045
open-space,,local-authority-eng:ESK,107,10700046
open-space,,local-authority-eng:ESK,108,10700047
open-space,,local-authority-eng:ESK,109,10700048
open-space,,local-authority-eng:ESK,111,10700049
open-space,,local-authority-eng:ESK,112,10700050
open-space,,local-authority-eng:ESK,114,10700051
open-space,,local-authority-eng:ESK,116,10700052
open-space,,local-authority-eng:ESK,117,10700053
open-space,,local-authority-eng:ESK,122,10700054
open-space,,local-authority-eng:ESK,125,10700055
open-space,,local-authority-eng:ESK,179,10700056
open-space,,local-authority-eng:ESK,181,10700057
open-space,,local-authority-eng:ESK,182,10700058
open-space,,local-authority-eng:ESK,320,10700059
open-space,,local-authority-eng:ESK,324,10700060
open-space,,local-authority-eng:ESK,327,10700061
open-space,,local-authority-eng:ESK,127,10700062
open-space,,local-authority-eng:ESK,134,10700063
open-space,,local-authority-eng:ESK,135,10700064
open-space,,local-authority-eng:ESK,183,10700065
open-space,,local-authority-eng:ESK,186,10700066
open-space,,local-authority-eng:ESK,187,10700067
open-space,,local-authority-eng:ESK,188,10700068
open-space,,local-authority-eng:ESK,190,10700069
open-space,,local-authority-eng:ESK,195,10700070
open-space,,local-authority-eng:ESK,196,10700071
open-space,,local-authority-eng:ESK,328,10700072
open-space,,local-authority-eng:ESK,329,10700073
open-space,,local-authority-eng:ESK,331,10700074
open-space,,local-authority-eng:ESK,333,10700075
open-space,,local-authority-eng:ESK,138,10700076
open-space,,local-authority-eng:ESK,139,10700077
open-space,,local-authority-eng:ESK,140,10700078
open-space,,local-authority-eng:ESK,335,10700079
open-space,,local-authority-eng:ESK,337,10700080
open-space,,local-authority-eng:ESK,338,10700081
open-space,,local-authority-eng:ESK,339,10700082
open-space,,local-authority-eng:ESK,340,10700083
open-space,,local-authority-eng:ESK,341,10700084
open-space,,local-authority-eng:ESK,141,10700085
