source,attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
283513c53768038350a2a767162cbf8a,,open-space,,ba080b05e0df46fe7eec05ff62e101f0fc047066af29fa7897700568b09ce1cc,,local-authority-eng:ESK,open-space,2021-06-23,2021-06-23,
29bb51561e58677513f3f1a906da039c,os-open-data,open-space,https://osdatahub.os.uk/downloads/open/OpenGreenspace,bebf44407e3b529c033b6981c8e483793b477cc18a7ce9f5378da12b05799561,ogl3,,open-space,2021-09-08T11:11:49:11Z,2021-09-08,
