categories,documentation-url,end-date,entry-date,geography,geometry,legislation,name,notes,organisation,point,reference,start-date,slug
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:6272,"MULTIPOLYGON (((1.703572 52.454120,1.703784 52.454128,1.704046 52.454210,1.706601 52.453844,1.706474 52.453656,1.706483 52.453589,1.706402 52.453567,1.706087 52.453687,1.704961 52.453716,1.704002 52.453407,1.704174 52.453065,1.701834 52.452524,1.701193 52.452189,1.700440 52.451568,1.699578 52.453269,1.700373 52.453508,1.700766 52.453766,1.701108 52.454057,1.701202 52.454275,1.701294 52.454335,1.701271 52.454485,1.703221 52.454309,1.703438 52.454158,1.703572 52.454120)))",,"Carlton Park, Lowestoft Road",,local-authority-eng:ESK,,,,/open-space/open-space/6272
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:365,"MULTIPOLYGON (((1.722239 52.465553,1.722162 52.465546,1.721981 52.465601,1.721917 52.465638,1.721899 52.465718,1.722019 52.465734,1.722119 52.465787,1.722179 52.465860,1.722185 52.465937,1.722458 52.465962,1.722493 52.465888,1.722576 52.465829,1.722824 52.465801,1.722837 52.465745,1.722810 52.465706,1.722645 52.465592,1.722239 52.465553)))",,Whitton Green Hawthorne Avenue,,local-authority-eng:ESK,,,,/open-space/open-space/365
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:8,"MULTIPOLYGON (((1.673508 52.339702,1.673610 52.339957,1.674045 52.339892,1.673943 52.339624,1.673508 52.339702)))",,Mount Pleasant,,local-authority-eng:ESK,,,,/open-space/open-space/8
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:259,"MULTIPOLYGON (((1.445184 52.380122,1.444876 52.380317,1.444912 52.380346,1.445244 52.380390,1.446109 52.380405,1.446239 52.379945,1.446198 52.379901,1.445712 52.379849,1.445546 52.379902,1.445184 52.380122)))",,"The Street, Rumburgh",,local-authority-eng:ESK,,,,/open-space/open-space/259
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:83,"MULTIPOLYGON (((1.747312 52.484411,1.747266 52.484524,1.747118 52.484896,1.747291 52.484841,1.747744 52.484485,1.747769 52.484422,1.747716 52.484342,1.747312 52.484411)))",,The Bleach,,local-authority-eng:ESK,,,,/open-space/open-space/83
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:86,"MULTIPOLYGON (((1.716915 52.483149,1.717086 52.483154,1.717132 52.482878,1.717186 52.482781,1.716935 52.482709,1.716708 52.482689,1.716712 52.483150,1.716915 52.483149)))",,Bonds Meadow,,local-authority-eng:ESK,,,,/open-space/open-space/86
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:18,"MULTIPOLYGON (((1.697578 52.456026,1.697688 52.455917,1.696967 52.455767,1.696863 52.455961,1.697505 52.456141,1.697516 52.456067,1.697578 52.456026)))",,Staplehurst Close,,local-authority-eng:ESK,,,,/open-space/open-space/18
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:36,"MULTIPOLYGON (((1.717457 52.456191,1.717592 52.456152,1.717396 52.456043,1.717356 52.456059,1.717457 52.456191)))",,Adjacent 35 Aspinall Close,,local-authority-eng:ESK,,,,/open-space/open-space/36
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:99,"MULTIPOLYGON (((1.669657 52.338207,1.669519 52.338149,1.669388 52.338272,1.669704 52.338397,1.669811 52.338270,1.669657 52.338207)))",,Winston Road,,local-authority-eng:ESK,,,,/open-space/open-space/99
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:100,"MULTIPOLYGON (((1.358330 52.420560,1.358441 52.420650,1.358413 52.420675,1.358670 52.420869,1.358738 52.420861,1.359280 52.420594,1.359065 52.420498,1.358842 52.420451,1.358568 52.420469,1.358330 52.420560)))",,Village Green,,local-authority-eng:ESK,,,,/open-space/open-space/100
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:42,"MULTIPOLYGON (((1.702763 52.458509,1.702703 52.458489,1.702607 52.458520,1.702422 52.458645,1.702545 52.458779,1.702667 52.458820,1.702901 52.458778,1.702957 52.458705,1.702981 52.458600,1.702831 52.458623,1.702797 52.458602,1.702959 52.458576,1.702763 52.458509)))",,Parklands,,local-authority-eng:ESK,,,,/open-space/open-space/42
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:46,"MULTIPOLYGON (((1.707876 52.450517,1.708440 52.450559,1.708487 52.450448,1.708501 52.450272,1.707634 52.449920,1.707659 52.450050,1.707876 52.450517)))",,Matlock Dale,,local-authority-eng:ESK,,,,/open-space/open-space/46
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:6582,"MULTIPOLYGON (((1.657527 52.513531,1.657582 52.513383,1.658462 52.513507,1.658752 52.512574,1.656235 52.511836,1.655606 52.513678,1.657321 52.514087,1.657527 52.513531)))",,"Cricket Pitch, Station Road",,local-authority-eng:ESK,,,,/open-space/open-space/6582
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11512916#11512916,,2021-06-23,open-space:6585,"MULTIPOLYGON (((1.730182 52.501999,1.730069 52.501868,1.730053 52.501916,1.729488 52.502001,1.729523 52.502211,1.729343 52.502432,1.728859 52.502691,1.728696 52.502740,1.728750 52.502872,1.729566 52.502801,1.729567 52.502587,1.729707 52.502472,1.729701 52.502384,1.730215 52.502020,1.730182 52.501999)))",,Bentley Drive Parkhill,,local-authority-eng:ESK,,,,/open-space/open-space/6585
